Gene Symbol,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile
C1QTNF9B,0.597144447476166,82.7435715970748
C1RL,-0.200157416488548,39.1129983486671
C1S,-0.0440158785972104,50.4482189195565
C2,-0.0660618817075632,48.7791932059448
C20orf111,-0.0953862162090365,46.485020051899
C20orf112,-1.04521635476137,7.66100495399859
C20orf118,0.483275131218283,79.2521821184242
C20orf141,0.415317660853491,76.8105685303137
C20orf152,0.112125503199394,62.0960132106629
C20orf166,0.815800670739425,87.8744987025242
C20orf173,0.858082311713302,88.5586223165841
C20orf194,-0.812021021273839,12.0724227412126
C20orf195,-0.843147537795032,11.2762443972635
C20orf196,0.793752871418931,87.4026893135173
C20orf197,0.103030230903726,61.2762443972635
C20orf20,-0.185391281642191,39.6791696154753
C20orf202,0.479642105058553,78.9514036329323
C20orf24,-0.22948377130373,36.8601085161595
C20orf26,-0.227889677194528,36.8660061335221
C20orf27,-0.271755480784169,34.3182354328851
C20orf43,-0.35994025061284,28.9337107808445
C20orf72,0.683515289697943,85.0377447511205
C20orf79,0.547599505462847,81.2160887001651
C20orf85,0.61555716021193,83.138711960368
C20orf94,0.396906588514693,76.309271054494
C20orf96,-0.314027421907655,31.929700401038
C21orf2,1.41838457930529,94.8926633640009
C21orf33,0.218717574883929,68.2708185892899
C21orf56,1.19607138145197,92.9228591648974
C21orf58,0.308721233270463,72.5996697334277
C21orf59,-0.0715203154713646,48.3486671384761
C21orf62,-0.227663163036465,37.1137060627507
C21orf7,0.193034295692284,66.8200047180939
C21orf91,0.793752871418931,87.4026893135173
C22orf13,-0.49403930292671,22.0924746402453
C22orf15,0.591694063015805,82.4545883463081
C22orf23,0.238945317445982,69.208539749941
C22orf24,0.23712719204854,68.9844302901628
C22orf25,0.106667881961532,61.7303609341826
C22orf28,-0.802693349929605,12.2375560273649
C22orf29,0.396906588514693,76.309271054494
C22orf31,0.240763791958702,69.3677754187308
C22orf32,-0.273576252810267,33.9702760084926
C22orf42,1.03991354678614,91.2597310686483
C22orf43,1.28245472658146,93.7131398914838
C22orf46,0.435547892985325,77.4534088228356
C2CD2,-0.949752637970661,9.3241330502477
C2CD2L,-0.31038805386334,32.1479122434536
C2CD3,2.17729773944388,98.0773767397971
C2orf15,0.279402864822824,70.8657702288276
C2orf16,1.30803576360233,94.0021231422505
C2orf18,-0.337894034534553,30.3727294173154
